level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4963	3509	-1	
2	1	1	0	0	0	2872	180	91	49	-1	
3	1	1	1	0	0	2872	180	91	49	-1	
4	1	1	1	1	0	2872	180	91	49	-1	
5	1	1	1	1	1	2872	180	91	49	96.602127	Код
2	1	2	0	0	0	2221	211	295	51	-1	
3	1	2	1	0	0	2221	211	295	51	-1	
4	1	2	1	1	0	2221	211	295	51	-1	
5	1	2	1	1	1	2221	211	106	48	96.868347	Тип,
5	1	2	1	1	2	2351	221	165	41	96.234123	марка,
2	1	3	0	0	0	3653	224	204	45	-1	
3	1	3	1	0	0	3653	224	204	45	-1	
4	1	3	1	1	0	3653	224	204	45	-1	
5	1	3	1	1	1	3653	224	204	45	96.802536	Одиниця
2	1	4	0	0	0	4180	217	132	41	-1	
3	1	4	1	0	0	4180	217	132	41	-1	
4	1	4	1	1	0	4180	217	132	41	-1	
5	1	4	1	1	1	4180	217	132	41	96.216476	Маса
2	1	5	0	0	0	305	273	197	49	-1	
3	1	5	1	0	0	305	273	197	49	-1	
4	1	5	1	1	0	305	273	197	49	-1	
5	1	5	1	1	1	305	273	197	49	96.177299	Позиція
2	1	6	0	0	0	712	271	1116	53	-1	
3	1	6	1	0	0	712	271	1116	53	-1	
4	1	6	1	1	0	712	271	1116	53	-1	
5	1	6	1	1	1	712	271	383	53	96.501129	Найменування
5	1	6	1	1	2	1115	282	54	30	96.815285	та
5	1	6	1	1	3	1189	271	219	41	96.934441	технічна
5	1	6	1	1	4	1426	282	402	41	96.251709	характеристика
2	1	7	0	0	0	2067	282	603	42	-1	
3	1	7	1	0	0	2067	282	603	42	-1	
4	1	7	1	1	0	2067	282	603	42	-1	
5	1	7	1	1	1	2067	282	299	30	96.531937	позначення
5	1	7	1	1	2	2385	282	285	42	96.684799	документа,
2	1	8	0	0	0	2754	240	326	50	-1	
3	1	8	1	0	0	2754	240	326	50	-1	
4	1	8	1	1	0	2754	240	326	50	-1	
5	1	8	1	1	1	2754	240	326	50	96.141922	обладнання,
2	1	9	0	0	0	3292	248	175	49	-1	
3	1	9	1	0	0	3292	248	175	49	-1	
4	1	9	1	1	0	3292	248	175	49	-1	
5	1	9	1	1	1	3292	248	175	49	91.682045	Завод-
2	1	10	0	0	0	3665	277	688	49	-1	
3	1	10	1	0	0	3665	277	688	49	-1	
4	1	10	1	1	0	3665	277	688	49	-1	
5	1	10	1	1	1	3665	280	180	46	92.985054	вимірю-
5	1	10	1	1	2	3886	280	199	36	0.000000	|Кількість
5	1	10	1	1	3	4140	277	213	49	95.872421	одиниці,
2	1	11	0	0	0	4507	272	231	51	-1	
3	1	11	1	0	0	4507	272	231	51	-1	
4	1	11	1	1	0	4507	272	231	51	-1	
5	1	11	1	1	1	4507	272	231	51	96.772766	Примітка
2	1	12	0	0	0	2821	302	192	53	-1	
3	1	12	1	0	0	2821	302	192	53	-1	
4	1	12	1	1	0	2821	302	192	53	-1	
5	1	12	1	1	1	2821	302	192	53	96.847839	виробу,
2	1	13	0	0	0	3259	295	241	53	-1	
3	1	13	1	0	0	3259	295	241	53	-1	
4	1	13	1	1	0	3259	295	241	53	-1	
5	1	13	1	1	1	3259	295	241	53	96.395218	виробник
2	1	14	0	0	0	3689	343	132	28	-1	
3	1	14	1	0	0	3689	343	132	28	-1	
4	1	14	1	1	0	3689	343	132	28	-1	
5	1	14	1	1	1	3689	343	132	28	96.507057	вання
2	1	15	0	0	0	4225	349	42	30	-1	
3	1	15	1	0	0	4225	349	42	30	-1	
4	1	15	1	1	0	4225	349	42	30	-1	
5	1	15	1	1	1	4225	349	42	30	91.574982	КГ
2	1	16	0	0	0	2094	343	548	42	-1	
3	1	16	1	0	0	2094	343	548	42	-1	
4	1	16	1	1	0	2094	343	548	42	-1	
5	1	16	1	1	1	2094	343	385	42	91.249184	опитувального
5	1	16	1	1	2	2496	343	146	30	96.578682	листа
2	1	17	0	0	0	2787	363	260	53	-1	
3	1	17	1	0	0	2787	363	260	53	-1	
4	1	17	1	1	0	2787	363	260	53	-1	
5	1	17	1	1	1	2787	363	260	53	96.437149	матеріалу
2	1	18	0	0	0	1253	526	28	40	-1	
3	1	18	1	0	0	1253	526	28	40	-1	
4	1	18	1	1	0	1253	526	28	40	-1	
5	1	18	1	1	1	1253	526	28	40	96.911674	2
2	1	19	0	0	0	2900	526	28	40	-1	
3	1	19	1	0	0	2900	526	28	40	-1	
4	1	19	1	1	0	2900	526	28	40	-1	
5	1	19	1	1	1	2900	526	28	40	94.047180	4
2	1	20	0	0	0	3970	526	27	40	-1	
3	1	20	1	0	0	3970	526	27	40	-1	
4	1	20	1	1	0	3970	526	27	40	-1	
5	1	20	1	1	1	3970	526	27	40	95.895386	7
2	1	21	0	0	0	4230	526	27	41	-1	
3	1	21	1	0	0	4230	526	27	41	-1	
4	1	21	1	1	0	4230	526	27	41	-1	
5	1	21	1	1	1	4230	526	27	41	96.926384	8
2	1	22	0	0	0	540	617	1464	53	-1	
3	1	22	1	0	0	540	617	1464	53	-1	
4	1	22	1	1	0	540	617	1464	53	-1	
